,7 - 1,1,NULL,NULL
,7 - 2,1,NULL,NULL
,7 - 3,1,NULL,NULL
,7 - 4,1,NULL,NULL
,7 - 5,1,NULL,NULL
,7 - 6,1,NULL,NULL
,7 - 7,1,NULL,NULL
,7 - 8,1,NULL,NULL
,7 - 9,1,NULL,NULL
,7 - 10,1,NULL,NULL
,7 - 11,1,NULL,NULL
,8 - 1,1,NULL,NULL
,8 - 2,1,NULL,NULL
,8 - 3,1,NULL,NULL
,8 - 4,1,NULL,NULL
,8 - 5,1,NULL,NULL
,8 - 6,1,NULL,NULL
,8 - 7,1,NULL,NULL
,8 - 8,1,NULL,NULL
,8 - 9,1,NULL,NULL
,9 - 1,1,NULL,NULL
,9 - 2,1,NULL,NULL
,9 - 3,1,NULL,NULL
,9 - 4,1,NULL,NULL
,9 - 5,1,NULL,NULL
,9 - 6,1,NULL,NULL
,9 - 7,1,NULL,NULL
,9 - 8,1,NULL,NULL
,9 - 9,1,NULL,NULL
,9 - 10,1,NULL,NULL
,9 - 11,1,NULL,NULL
,9 - 12,1,NULL,NULL
,9 - 13,1,NULL,NULL